,Date,USD (PM),Week,Percentage Change in Price
0,1/6/2017,1175.85,1,
1,1/13/2017,1190.35,2,0.0123315048688184
2,1/20/2017,1200.55,3,0.008568908304280365
3,1/27/2017,1184.85,4,-0.01307733955270507
4,2/3/2017,1215.2,5,0.025615056758239607
5,2/10/2017,1228.3,6,0.010780118499012392
6,2/17/2017,1241.95,7,0.011112920296344697
7,2/24/2017,1253.65,8,0.009420669109062363
8,3/3/2017,1226.5,9,-0.021656762254217754
9,3/10/2017,1202.65,10,-0.019445576844679957
10,3/17/2017,1229.6,11,0.02240884712925606
11,3/24/2017,1247.5,12,0.014557579700715806
12,3/31/2017,1244.85,13,-0.0021242484969941078
13,4/7/2017,1266.45,14,0.017351488131100323
14,4/13/2017,1284.15,15,0.01397607485490937
15,4/21/2017,1281.85,16,-0.0017910680216487451
16,4/28/2017,1266.45,17,-0.012013886180130218
17,5/5/2017,1228.05,18,-0.030320975956413698
18,5/12/2017,1231.25,19,0.002605757094580774
19,5/19/2017,1252.0,20,0.01685279187817268
20,5/26/2017,1265.05,21,0.010423322683706049
21,6/2/2017,1274.95,22,0.007825777637247677
22,6/9/2017,1266.55,23,-0.006588493666418338
23,6/16/2017,1255.4,24,-0.008803442422328223
24,6/23/2017,1255.7,25,0.0002389676597100987
25,6/30/2017,1242.25,26,-0.010711157123516779
26,7/7/2017,1215.65,27,-0.02141275910646001
27,7/14/2017,1230.3,28,0.01205116604285772
28,7/21/2017,1248.55,29,0.014833780378769479
29,7/28/2017,1264.9,30,0.013095190420888247
30,8/4/2017,1257.7,31,-0.005692149577041672
31,8/11/2017,1286.1,32,0.02258090164586135
32,8/18/2017,1295.8,33,0.007542181789907509
33,8/25/2017,1285.3,34,-0.008103102330606626
34,9/1/2017,1320.4,35,0.027308799502061776
35,9/8/2017,1346.25,36,0.019577400787640142
36,9/15/2017,1322.85,37,-0.017381615598885847
37,9/22/2017,1294.8,38,-0.021204218165324806
38,9/29/2017,1283.1,39,-0.009036144578313254
39,10/6/2017,1261.8,40,-0.016600420855739983
40,10/13/2017,1299.6,41,0.029957203994293913
41,10/20/2017,1281.2,42,-0.014158202523853358
42,10/27/2017,1266.45,43,-0.011512644395878846
43,11/3/2017,1267.2,44,0.0005922065616486005
44,11/10/2017,1284.3,45,0.013494318181818121
45,11/16/2017,1280.0,46,-0.0033481273845674675
46,11/24/2017,1290.5,47,0.008203125000000089
47,12/1/2017,1275.5,48,-0.01162340178225496
