DATE,DCOILWTICO,week
1/6/2017,53.98,1
1/13/2017,52.36,2
1/20/2017,52.33,3
1/27/2017,53.18,4
2/3/2017,53.81,5
2/10/2017,53.84,6
2/17/2017,53.41,7
2/24/2017,53.99,8
3/3/2017,53.33,9
3/10/2017,48.05,10
3/17/2017,48.34,11
3/24/2017,47.3,12
3/31/2017,50.54,13
4/7/2017,52.25,14
4/14/2017,53.19,15
4/21/2017,49.64,16
4/28/2017,49.31,17
5/5/2017,46.23,18
5/12/2017,47.83,19
5/19/2017,50.32,20
5/26/2017,49.58,21
6/2/2017,47.68,22
6/9/2017,45.82,23
6/16/2017,44.73,24
6/23/2017,42.86,25
6/30/2017,46.02,26
7/7/2017,44.25,27
7/14/2017,46.53,28
7/21/2017,45.78,29
7/28/2017,49.72,30
8/4/2017,49.57,31
8/11/2017,48.81,32
8/18/2017,48.59,33
8/25/2017,47.65,34
9/1/2017,47.32,35
9/8/2017,47.44,36
9/15/2017,49.9,37
9/22/2017,50.33,38
9/29/2017,51.67,39
10/6/2017,49.34,40
10/13/2017,51.43,41
10/20/2017,51.63,42
10/27/2017,53.92,43
11/3/2017,55.63,44
11/10/2017,56.75,45
11/17/2017,56.21,46
11/24/2017,58.94,47
12/1/2017,58.35,48
