,DATE,DCOILWTICO,week,Percentage Change in Price
0,1/6/2017,53.98,1,
1,1/13/2017,52.36,2,-0.03001111522786215
2,1/20/2017,52.33,3,-0.0005729564553094146
3,1/27/2017,53.18,4,0.016243072807185177
4,2/3/2017,53.81,5,0.011846558856713152
5,2/10/2017,53.84,6,0.0005575171901133213
6,2/17/2017,53.41,7,-0.007986627043090722
7,2/24/2017,53.99,8,0.010859389627410732
8,3/3/2017,53.33,9,-0.01222448601592896
9,3/10/2017,48.05,10,-0.09900618788674298
10,3/17/2017,48.34,11,0.006035379812695307
11,3/24/2017,47.3,12,-0.02151427389325622
12,3/31/2017,50.54,13,0.06849894291754755
13,4/7/2017,52.25,14,0.03383458646616533
14,4/14/2017,53.19,15,0.017990430622009557
15,4/21/2017,49.64,16,-0.06674186877232557
16,4/28/2017,49.31,17,-0.006647864625302091
17,5/5/2017,46.23,18,-0.062461975258568336
18,5/12/2017,47.83,19,0.03460956089119627
19,5/19/2017,50.32,20,0.052059376960067016
20,5/26/2017,49.58,21,-0.014705882352941235
21,6/2/2017,47.68,22,-0.038321903993545736
22,6/9/2017,45.82,23,-0.03901006711409394
23,6/16/2017,44.73,24,-0.02378873854212138
24,6/23/2017,42.86,25,-0.04180639391906993
25,6/30/2017,46.02,26,0.07372841810545983
26,7/7/2017,44.25,27,-0.03846153846153855
27,7/14/2017,46.53,28,0.051525423728813635
28,7/21/2017,45.78,29,-0.01611863313990969
29,7/28/2017,49.72,30,0.08606378331148967
30,8/4/2017,49.57,31,-0.003016894609814913
31,8/11/2017,48.81,32,-0.015331853943917673
32,8/18/2017,48.59,33,-0.004507273099774611
33,8/25/2017,47.65,34,-0.01934554435068958
34,9/1/2017,47.32,35,-0.00692549842602308
35,9/8/2017,47.44,36,0.002535925612848544
36,9/15/2017,49.9,37,0.05185497470489042
37,9/22/2017,50.33,38,0.008617234468937918
38,9/29/2017,51.67,39,0.026624279753626245
39,10/6/2017,49.34,40,-0.04509386491194112
40,10/13/2017,51.43,41,0.042359140656667904
41,10/20/2017,51.63,42,0.003888780867198127
42,10/27/2017,53.92,43,0.044354057718380746
43,11/3/2017,55.63,44,0.031713649851632164
44,11/10/2017,56.75,45,0.02013302175085374
45,11/17/2017,56.21,46,-0.00951541850220261
46,11/24/2017,58.94,47,0.04856787048567868
47,12/1/2017,58.35,48,-0.01001017984390895
